query_id,term,expert,non_experts
10,dom,58.11569826707442,0.5371136623574345
10,can,7.145852324521422,0.06604299745398726
10,level,29.345197632232193,0.2712125474328299
10,will,7.86535294329174,0.07269272590842643
10,document,13.798302796528446,0.12752590384961596
10,node,57.432803347280334,0.5308022490506501
10,may,7.257247548227179,0.06707252817215507
10,xml,13.97961507965112,0.1292016181113782
10,one,7.642600516975476,0.07063401586853489
10,use,6.3625876438682365,0.05880395234628684
10,attribute,26.682266269075598,0.24660135183988538
10,html,15.350420304788761,0.14187079764130095
10,think,5.797294925171599,0.05357943553763031
10,like,7.705331599479843,0.07121378557744772
10,test,18.951489497643962,0.1751523983146392
10,2,15.955203426124196,0.14746029044477074
10,implementation,25.527766809894317,0.2359313013853449
10,element,17.358251868890168,0.16042746644075942
10,just,7.359427651582902,0.06801689141943532
10,w3c,7.4231981400155,0.06860626746779575
10,using,8.51198097987603,0.07866895545171931
10,need,6.4026402215210245,0.05917412404363239
10,also,6.825471372332343,0.06308199050214736
10,3,17.928654545454545,0.16569921021677028
10,new,9.41706398996236,0.08703386312349684
10,interface,27.09214193363023,0.25038948182652704
10,1,15.305225106802496,0.14145309710538354
10,method,43.532787674530574,0.4023363001342936
10,2002,13.58797334141169,0.12558200870066258
10,make,6.499761178675094,0.06007172993230215
10,way,8.451518691588785,0.07811015426607011
10,see,8.08888888888889,0.07475867734647772
10,since,11.71270013568521,0.10825046336123115
10,event,27.521951219512193,0.2543618412154547
10,2001,12.910748892060392,0.11932300269926424
10,nodes,43.1572192513369,0.3988652426186405
10,object,26.811960132890366,0.24780000122819193
10,get,8.657085828343314,0.08001003538210086
10,want,8.3860682514952,0.07750525186224769
10,mar,9.796101202820406,0.09053697969334941
10,oct,15.865486725663713,0.14663111576399
10,list,8.538271604938272,0.07891193719905981
10,le,39.84142187114293,0.3682201651676795
10,text,6.0276329156789705,0.05570825245544335
10,used,6.6332898512914165,0.061305821176445625
10,sep,12.683880671847579,0.11722625389877615
10,spec,20.667584308327598,0.1910127939771497
10,value,17.197741935483872,0.15894401049430565
10,type,12.173202990224267,0.11250649713700803
10,jul,14.845371142618848,0.13720306046782668
10,feb,11.849400399733511,0.10951386691066092
10,1998,35.16842105263157,0.3250316178616596
10,know,8.451645569620254,0.07811132689112989
10,set,10.47693715680293,0.09682936374124704
10,aug,12.630925528940256,0.11673683483308923
10,might,7.2147882736156355,0.06668011343452529
10,apr,10.163488843813385,0.09393242924041947
10,xpath,25.348860759493668,0.23427782587332413
10,current,11.053667853112248,0.10215959198809842
10,work,7.1420614085150085,0.0660079612616914
10,support,9.927272727272728,0.09174928583431356
10,2000,12.837043966323668,0.11864181114901726
10,tests,38.75617303441742,0.3581901389502535
10,dec,11.590654205607475,0.10712249727918186
10,working,5.305360525040744,0.04903290688577397
10,case,8.144484518543722,0.07527250017138376
10,java,40.49238062986793,0.3742364198693893
10,core,21.651030927835052,0.20010194942546258
10,nov,11.40035190615836,0.10536369599037299
10,seems,8.819456496917102,0.08151068851124865
10,really,10.344646211646838,0.0956067117527434
10,two,6.625660639777468,0.06123531090367346
10,different,6.1197278911564625,0.056559407496824976
10,2003,4.302220870094311,0.03976174556464244
10,still,10.004393249397266,0.09246204481882872
10,something,7.724661246612467,0.07139243296314664
10,version,9.937975024705777,0.09184819801021975
10,jan,8.639943653153859,0.07985160492748482
10,user,2.518557705694,0.023276873435249534
10,even,8.032039268183844,0.0742332649554884
10,much,9.225,0.08525878003696857
10,must,5.922405517241379,0.05473572566766525
10,first,8.243106254359452,0.07618397647282303
10,return,31.158657243816247,0.28797280262307073
10,model,10.680061318344405,0.09870666652813682
10,call,10.045546875000001,0.09284239256007394
10,name,13.06607074447708,0.12075850965320777
10,methods,47.46722454672245,0.4386989329641631
10,good,7.933151453737627,0.07331932951698361
10,specification,15.166210732000602,0.14016830621072646
10,able,8.358359939505963,0.07724916764792943
10,defined,11.18543810062182,0.10337743161388004
10,issue,6.184355444305382,0.05715670466086305
10,information,3.3851962176578567,0.03128647151254951
10,time,6.764736146840019,0.0625206667914974
10,events,23.96153846153846,0.22145599317503198
10,namespace,17.1392736935341,0.1584036385724039
10,code,18.282633371169126,0.1689707335597886
10,web,1.89831362899838,0.017544488253219775
10,change,7.295215977705527,0.06742343787158528
10,implementations,33.157582184517494,0.30644715512493065
10,data,6.346856561546287,0.05865856341540006
10,find,8.480479041916167,0.0783778099992252
10,create,13.088455516014232,0.1209653929391334
10,add,8.570722112953078,0.0792118494727641
10,part,6.15366592607554,0.0568730677086464
10,tree,46.27024835276229,0.42763630640260897
10,wg,8.408634707036724,0.07771381429793645
10,ibm,35.08931506849315,0.3243005089509533
10,application,15.388211032823508,0.14222006499836884
10,following,7.645121533721327,0.07065731546877382
10,1999,12.34290451844687,0.11407490312797477
10,point,7.221661000485672,0.0667436321671504
10,whether,7.892221530802738,0.07294104926804748
10,possible,8.42231287354141,0.07784022988485591
10,kesselman,99.47418263810597,0.9193547378752863
10,attributes,23.56047644829453,0.21774932022453355
10,now,8.422848261122985,0.07784517801407564
10,comments,7.130328947368421,0.06589952816421832
10,jun,7.376115843270869,0.06817112609307642
10,problem,7.992022900763357,0.07386342791833048
10,without,8.283691029571752,0.07655906681674447
10,say,5.637883683360258,0.05210613385730368
10,api,29.31903259726603,0.27097072640726466
10,content,3.1724389687428696,0.029320138343279758
10,needs,8.345293578915234,0.07712840645947537
10,order,9.251058958214081,0.08549962068589724
10,many,6.912342179850554,0.06388486303004208
10,people,3.7000468647483364,0.03419636658732289
10,entity,27.024817518248174,0.24976725987290363
10,issues,6.969581749049429,0.06441387938123318
10,provide,4.838587162932017,0.04471892017497242
10,specific,8.31218556027442,0.07682241737776728
10,sure,7.612762552510502,0.070358249098988
10,last,6.215215789042666,0.05744192041629081
10,rather,7.712680643191533,0.07128170649899754
10,already,9.642857142857142,0.08912067599683125
10,default,17.863782207097714,0.16509965071254823
10,error,17.357487009919698,0.1604203975038789
10,another,7.773361792956243,0.07184253043397637
10,message,3.3945285920678563,0.03137272266236466
10,implement,18.17725568607848,0.16799681780109502
10,css,13.286234148134533,0.1227932915724079
10,specified,18.37165434616365,0.16979347824550506
10,believe,8.965092811760309,0.08285668033050193
10,added,13.412675266404936,0.12396187861742085
10,probably,11.062523306401491,0.10224143536415427
10,group,4.230035756853396,0.039094600340604406
10,null,37.800000000000004,0.3493530499075786
10,documents,9.851143335192415,0.09104568701656576
10,please,5.5228372347921395,0.051042857992533636
10,look,7.773848904783192,0.07184703239171157
10,given,9.05957669192579,0.08372991397343613
10,either,9.443841222207064,0.08728134216457546
10,28,14.035248730964467,0.12971579233793407
10,language,4.197952966979408,0.038798086570974194
10,well,7.678982029244335,0.07097025905031733
10,reference,9.306902654867256,0.08601573618176762
10,number,8.795766103007614,0.08129173847511659
10,take,7.110326086956522,0.06571465884433014
10,question,9.545346534653465,0.08821946889698211
10,better,8.617717601547389,0.0796461885540424
10,access,4.685301614273576,0.043302233033951726
10,made,7.605719557195572,0.07029315672084632
10,read,7.831699737030839,0.07238169812412976
10,always,11.371835883171071,0.10510014679455704
10,example,5.322908317657642,0.049195086115135324
10,things,5.968645554427106,0.05516308275810635
10,draft,5.411762726125369,0.05001629136899601
10,allow,5.416869107279368,0.05006348527984628
10,20,9.749402756508424,0.0901053859196712
